time (s),U_1 (N),U_2 (N),U_3 (N),U_4 (N)
0.0,2.755741574118213,6.35606661576496,7.598651407301602,3.899569466427922
0.0625,3.2255957382576548,6.163881685493684,7.269152025854005,4.11581051924259
0.125,3.6592164550050548,5.988181136182272,6.958732289471856,4.31902487752031
0.1875,4.0543768461650656,5.829303913220602,6.666601206848818,4.509763568558604
0.25,4.410437208405194,5.686993530831585,6.392054393177957,4.688222045754284
0.3125,4.727937542154874,5.560536489031087,6.134509280909863,4.854368600507974
0.375,5.008245990410174,5.448889667169169,5.893510357858977,5.008047505502263
0.4375,5.253274562382524,5.350794045189805,5.668715069574284,5.149056278469868
0.5,5.465260763613323,5.2648712475739,5.459869339694626,5.277200864860618
0.5625,5.646606704063964,5.189702037860471,5.266779246965065,5.392332841041
0.625,5.799764646156071,5.123887648160319,5.089283166635207,5.494372643067633
0.6875,5.927158172271268,5.066095757616962,4.927226836705518,5.583322426336176
0.75,6.031129359857308,5.0150933976311585,4.78044263871485,5.659271630382402
0.8125,6.1139046114666105,4.969768959264548,4.648733339365625,5.7223976571195045
0.875,6.1775733903958505,4.9291453741707345,4.531860181366981,5.772963482306305
0.9375,6.2240758206323745,4.892386251204234,4.429534889508132,5.811313460176851
1.0,6.255196520885739,4.8587964048141625,4.341415020805351,5.837868106135927
1.0625,6.2725626585817755,4.827818121091454,4.267102210455957,5.853118332488978
1.125,6.277645283226469,4.799024109752359,4.206142748948938,5.857619318130888
1.1875,6.271763243322786,4.772107998629659,4.1580300662243825,5.851984060829603
1.25,6.256088959461967,4.746873242952872,4.122208848449183,5.836876612214249
1.3125,6.231656333012689,4.723220760171332,4.098080234337902,5.8130048935271805
1.375,6.199369994281733,4.7011360595882365,4.085007995578192,5.781113113874075
1.4375,6.160015980099241,4.680676102312923,4.082325282854434,5.741973785439151
1.5,6.114273580365085,4.661956243398271,4.089341645475737,5.6963793947816175
1.5625,6.062727736963511,4.645137561465084,4.10535026158741,5.645133928756312
1.625,6.005882259620312,4.6304146667436505,4.129634799275837,5.589044304439747
1.6875,5.944172922561776,4.61800423425291,4.161476078903758,5.528912020516817
1.75,5.877980451463279,4.608134329602302,4.20015815536426,5.4655251607761866
1.8125,5.807643235951265,4.601034475106717,4.244973701161144,5.399650933804262
1.875,5.733468894530754,4.596926861000548,4.2952288050581515,5.3320289477942895
1.9375,5.655745347064277,4.5960182048308,4.350246894602972,5.263365278168462
2.0,5.574750541185797,4.598492703140622,4.409372001576478,5.194327411467709
2.0625,5.490761107202149,4.604505807574047,4.471971313590233,5.125540065806156
2.125,5.404059798232082,4.614178856694618,4.537437109880618,5.057581848204704
2.1875,5.3149417468398905,4.627594489310748,4.605188158442581,4.990982673915101
2.25,5.223719598059628,4.644792760194067,4.6746706566644605,4.926221848691692
2.3125,5.130727599622946,4.665767873002735,4.745358793420171,4.8637267077196045
2.375,5.036324753790728,4.690465440303707,4.8167549919224415,4.803871709281221
2.4375,4.940897326993724,4.7187801344736116,4.888389794917234,4.74697784618151
2.5,4.844859464219611,4.750554027839716,4.959821966552198,4.693312694811416
2.5625,4.74865648606858,4.785574375825864,5.03063687927135,4.6430898517804895
2.625,4.652762757496312,4.823572969890152,5.100446717166722,4.5964699564846825
2.6875,4.557683158822815,4.864224747617249,5.168888387544318,4.553560999327908
2.75,4.4639524963033015,4.907147171232511,5.2356216650825385,4.5144194124599295
2.8125,4.3721346111226875,4.9518999946978886,5.30032660955141,4.4790516262056554
2.875,4.282821220104647,4.9979855310897445,5.362700111816414,4.447416156564482
2.9375,4.196630282687253,5.044849586645983,5.422451516064627,4.419426377958335
3.0,4.114203891328457,5.091883191414668,5.479297176288547,4.394954068629317
3.0625,4.036205622099045,5.13842526142473,5.532953853446362,4.373833823106541
3.125,3.963317296105062,5.183766304292822,5.583130890861432,4.3558684073547855
3.1875,3.8962350864258655,5.227153245137986,5.629521167899289,4.34083512632948
3.25,3.8356650164455224,5.267795397034382,5.671790850351165,4.328493212326709
3.3125,3.782317744659645,5.304871548363368,5.7095681143117565,4.318592301345582
3.375,3.7369028004593794,5.337538071242596,5.742430980416471,4.310881937404815
3.4375,3.7001222908359837,5.364937902525896,5.769894561776743,4.305122101316696
