time (s),X (m),Y (m),Z (m),phi (rad),theta (rad),psi (rad),v_x (m/s),v_y (m/s),v_z (m/s),phi_dot (rad/s),theta_dot (rad/s),psi_dot (rad/s)
0.0,0.0,0.0,0.0,1.1450255372489738e-33,1.7333369499485123e-33,3.389420411160984e-34,0.0,0.0,0.0,-1.2556983303788922e-33,-7.041681359165831e-34,-2.587968362770348e-34
0.0625,3.448877790920083e-06,1.7493579702393198e-06,0.0009668241428846896,-0.0005215163627297585,0.0010281323813751265,-1.695874675866993e-05,0.00022072858437977263,0.00011195890572172679,0.03093830124070407,-0.01668889921746272,0.032900268042636675,-0.0005486377433413539
0.125,5.491155129770338e-05,2.78498011235785e-05,0.00402780202283374,-0.001999587867437593,0.003942857172948069,-8.947003959330004e-05,0.0017414675596988173,0.0008831504835414773,0.06701200545425068,-0.0306115260164712,0.06037111634211922,-0.001785813985448604
0.1875,0.0002724186470293942,0.00013813324176171622,0.009490241985397337,-0.004268060323645574,0.008416633200370753,-0.0002578564054638971,0.0057064191218068145,0.002892961983095536,0.10778228547837543,-0.04198436531987337,0.08279011313733536,-0.003620210996566374
0.25,0.0008395754645538955,0.0004256024948065434,0.017631553862149544,-0.0071743689074562295,0.0141458270698353,-0.0005551450357123254,0.013071266980158978,0.006624232795899688,0.15273078159364425,-0.05102506941384197,0.10054468791948856,-0.005910989665453467
0.3125,0.001993949364180385,0.001010481404913915,0.02869493691442282,-0.010579381352130499,0.020850993634039826,-0.0010047389879478596,0.02460881338561632,0.012466036573915205,0.2012812020290687,-0.05794521062702552,0.11402141301501759,-0.008492079173417192
0.375,0.004015867624349844,0.002034466472680114,0.04288640348861609,-0.014356837406623716,0.028276588971550862,-0.0016194338514484926,0.040916427440171724,0.0207173502499706,0.2528203002564824,-0.0629447035617125,0.12359854970095585,-0.011190953301877228
0.4375,0.007217734612894999,0.003655237549155624,0.06037306004809844,-0.01839250623604011,0.036190299803205796,-0.0024014505710720528,0.062425169851024864,0.031591666740558064,0.30671699401466174,-0.0662083766114291,0.12964121973198062,-0.013842396323646975
0.5,0.011933965086332779,0.006041284513786352,0.08128251263051692,-0.022583195974395502,0.04438213306529051,-0.003343193910751017,0.08941034508548196,0.04522247773874008,0.3623391138375198,-0.0679046449222543,0.13249855359060697,-0.016297989463986588
0.5625,0.018511613318720865,0.009367099736714032,0.10570324394553457,-0.026835736105843232,0.0526633711622035,-0.0044284942224291236,0.1220031825904669,0.061669476171056115,0.4190676574859007,-0.06818592237528653,0.13250224088551846,-0.01843212268543871
0.625,0.027301758932319016,0.013808775519248263,0.13368580733273913,-0.031066026277239263,0.06086546599148799,-0.005634139434598743,0.1602033423480522,0.08092529205166381,0.47630860788171653,-0.0671902838055704,0.12996601906224842,-0.02014529892559023
0.6875,0.03865169179762624,0.019540033749377687,0.16524468872540227,-0.035198214052315324,0.06883891946932696,-0.006931549068095147,0.20389195644075517,0.10292256727526737,0.5335024439137803,-0.06504388020292601,0.12518575214392666,-0.021365398274796814
0.75,0.0528979211882845,0.026728703097638577,0.20036069667294384,-0.03916403464294354,0.0764521797030088,-0.00828847998370458,0.2528449441790772,0.1275411838573398,0.5901314969621184,-0.06186366548186623,0.11843985285220608,-0.02204744693409255
0.8125,0.07036001888152542,0.035533648051267,0.23898375032947683,-0.04290232065680097,0.0835905691789955,-0.009670683781008122,0.3067463666237086,0.15461547894148178,0.645725312891983,-0.05776007808881676,0.10998988560857555,-0.022172313638720915
0.875,0.09133529214762799,0.04610214440296596,0.28103594553344524,-0.046358670463005916,0.09015525305475773,-0.011043458873624852,0.365201614216035,0.18394130376668522,0.6998641841632233,-0.05283941232407846,0.10008124772165054,-0.021744651414007086
0.9375,0.11609427052578815,0.0585676876904386,0.32641478967536075,-0.04948524997163016,0.09606225061493696,-0.012373057450541196,0.42775024800936357,0.2152828096012804,0.7521810233691013,-0.04720570206818586,0.08894387038258107,-0.020790318018675653
1.0,0.14487697988062143,0.07304821458076415,0.37499650710023474,-0.05224069402674491,0.10124149020106665,-0.013627920141188106,0.493878340963798,0.2483788694198711,0.8023617583634416,-0.04096201814143671,0.07679290965114724,-0.01935344639557724
1.0625,0.177889968438055,0.08964471226499006,0.42663932840804886,-0.054590069577391466,0.10563590657830746,-0.014779720584722548,0.5630301913487087,0.28294906854659346,0.8501444386608763,-0.03421114780669086,0.06382941407543913,-0.01749329504041088
1.125,0.21530404229353886,0.10844018746250084,0.481186689169855,-0.056504862613394345,0.10920057923697019,-0.015804209334300223,0.6346193056360144,0.31869921977679555,0.8953172506780003,-0.02705568103906641,0.05024096733611153,-0.015280980426987363
1.1875,0.2572526622556897,0.12949896448161566,0.5384702761355736,-0.0579629538042843,0.11190191011733715,-0.016681852461478554,0.7080385733655757,0.35532637817365514,0.9377156446343418,-0.019597572174837822,0.036202307210819476,-0.012796179612931675
1.25,0.3038309498064125,0.1528662807697929,0.598312871749217,-0.05894855312524836,0.11371683937524911,-0.01739826547690955,0.7826695808624081,0.3925233475313124,0.9772187766731314,-0.011937278158667755,0.02187592371226968,-0.010123883012903928
1.3125,0.35509524736298304,0.17856814832960918,0.6605309603967143,-0.05945207078934377,0.11463209805408138,-0.017944447974507536,0.8578910338227786,0.4299826843144591,1.0137454650448676,-0.004172596071604781,0.007412641540685628,-0.007351270512338635
1.375,0.41106317682677274,0.2066114500930313,0.724937071974604,-0.059469909790157004,0.11464349665099097,-0.01831682895584167,0.9330862802272946,0.46740021585774333,1.0472498498234228,0.0036026684057229607,-0.0070478143036190105,-0.004564783020552908
1.4375,0.47171414046501847,0.23698424165978044,0.7913418497423332,-0.05900417361978396,0.11375524860197272,-0.018517137010836546,1.0076499439554747,0.5044780977841763,1.0777169299547487,0.011300069999875447,-0.021376267340599154,-0.0018474519880563867
1.5,0.5369902093350717,0.2696562305527874,0.859555839694309,-0.058062290642441935,0.11197932772247655,-0.01855211323358724,1.080993695773836,0.5409274413630306,1.1051581320626795,0.018837809551586097,-0.03545355480257892,0.0007234575542413618
