time (s),U_1 (N),U_2 (N),U_3 (N),U_4 (N)
0.0,2.755741573224072,6.356071390696505,7.598650821426379,3.899565249945147
0.0625,3.22559603480161,6.163882156010399,7.269151713197501,4.115810061778416
0.125,3.659216854548064,5.988181360152863,6.958731876170575,4.319024658339458
0.1875,4.0543773151071285,5.8293037838523425,6.666600719386006,4.509763694201963
0.25,4.4104376781218875,5.686992979516603,6.392053904646094,4.688222573350873
0.3125,4.727937923752449,5.560535497479466,6.1345089086386775,4.854369516537082
0.375,5.008246188207701,5.448888276630925,5.893510249860561,5.008048718434464
0.4375,5.25327448234898,5.350792362693486,5.668715383778761,5.149057624652926
0.5,5.465260312880164,5.264869448277871,5.459870222721382,5.277202125835095
0.5625,5.646605787773183,5.189700359793299,5.266780814397792,5.3923337685557255
0.625,5.799763184543209,5.1238863704031505,5.089285478357375,5.494372985688824
0.6875,5.927156073159336,5.0660951844939195,4.927229903834727,5.583321961823164
0.75,6.031126546460192,5.015093819319081,4.7804464094892625,5.65927018968043
0.8125,6.113901028650209,4.969770616846541,4.648737705443364,5.722395145186672
0.875,6.177569012319894,4.929148427571178,4.531864987940254,5.772959891821248
0.9375,6.224070689518922,4.892390738409935,4.429539937380497,5.8113088728282225
1.0,6.255190722005132,4.8588022398596715,4.341420093584825,5.837862692809425
1.0625,6.27255634910309,4.827825077792615,4.267107078916897,5.853112339219268
1.125,6.277638702312782,4.7990318236424825,4.206147181344212,5.857613046915239
1.1875,6.27175663798582,4.77211602181657,4.158033864276225,5.851977854076586
1.25,6.25608266619369,4.746881028439873,4.122211820869627,5.836870819595471
1.3125,6.231650693039921,4.723227733872248,4.098082230454739,5.812999852635084
1.375,6.199365345901858,4.701141657193572,4.085008903521539,5.781109126596964
1.4375,6.160012650090103,4.6806798103911875,4.0823250227151675,5.741971095647431
1.5,6.114271797886376,4.661957651358626,4.0893402053355725,5.696378187659928
1.5625,6.062727716895424,4.645136377069616,4.105347632499917,5.645134300936849
1.625,6.005884117902352,4.630410750786796,4.129631014774218,5.589046274287266
1.6875,5.944176691121692,4.617997609073934,4.161471195380022,5.528915524998474
1.75,5.877986127222877,4.608125154484932,4.200152229946057,5.4655300541557095
1.8125,5.8076506654294375,4.601023106508586,4.244966824605574,5.399657003843719
1.875,5.733477912301357,4.596913754913265,4.295221059367674,5.332035918803971
1.9375,5.6557557269684215,4.5960039344560695,4.3502383678876635,5.263372820849433
2.0,5.574762026475063,4.598477916812684,4.409362784759256,5.194335153620692
2.0625,5.490773423602747,4.604491193975227,4.4719615043806025,5.125547604242318
2.125,5.404072664834077,4.614165107365558,4.537426819153759,5.057588762731951
2.1875,5.31495488476623,4.627582259254694,4.605177518013388,4.990988544108885
2.25,5.223732733064276,4.64478262895847,4.674659828743887,4.926226274986707
2.3125,5.130740459733763,4.6657603071167,4.745347979818837,4.8637293372663555
2.375,5.036337063671397,4.690460758539643,4.816744440906617,4.803872266005867
2.4375,4.940908618352219,4.718778528707372,4.888379877602515,4.746976214897605
2.5,4.844869887844063,4.750555321591357,4.959812827591092,4.69330872829397
2.5625,4.748665337186213,4.785578396885972,5.030629074694272,4.643083790053763
2.625,4.652769624907519,4.823579262023128,5.100440666517662,4.596462153104895
2.6875,4.557687643740711,4.864232666675491,5.1688844929734685,4.553551986169207
2.75,4.463954150330134,4.907155942208754,5.235620318981583,4.514409902655278
2.8125,4.372132998106435,4.951908762447554,5.300328147096225,4.479042459030395
