time (s),X (m),Y (m),Z (m),phi (rad),theta (rad),psi (rad),v_x (m/s),v_y (m/s),v_z (m/s),phi_dot (rad/s),theta_dot (rad/s),psi_dot (rad/s)
0.0,0.0,0.0,0.0,3.039312615132634e-27,4.963518449936089e-28,-1.7292499543828248e-28,0.0,0.0,0.0,-1.7251818479499278e-24,4.317326355747768e-25,-5.0384664035418e-24
0.025,1.6159122053943445e-19,1.6159129418668699e-19,-0.0027531249975489575,-3.1025383395874585e-15,3.1025369257405454e-15,1.4738511077657154e-23,2.5854595286174456e-17,2.5854607068555183e-17,-0.22024999980391663,-2.4820306716510503e-13,2.4820295405825853e-13,1.1843451876484716e-21
0.05,2.5845302149544227e-18,2.5845313571522904e-18,-0.01101249999021355,-1.239230918328593e-14,1.2392304219271929e-14,5.938466269492318e-23,2.0668806985111884e-16,2.0668815834528748e-16,-0.44049999960925074,-4.94978600330161e-13,4.949784294239254e-13,2.3880928731110662e-21
0.07500000000000001,1.3073090382604658e-17,1.3073095638499548e-17,-0.02477812497802938,-2.7833624994297953e-14,2.7833617580659502e-14,1.3433399783787063e-22,6.967358529551995e-16,6.967361037629031e-16,-0.6607499994160155,-7.403266645507678e-13,7.403266394871984e-13,3.608538036566563e-21
0.1,4.1276280146003886e-17,4.127629410641892e-17,-0.04404999996103238,-4.9390807124024274e-14,4.939079807847813e-14,2.40043727085301e-22,1.6493413395646244e-15,1.6493417919174477e-15,-0.8809999992242247,-9.842479058274575e-13,9.842478003383483e-13,4.848453148599023e-21
0.125,1.0066554377965873e-16,1.0066557221076585e-16,-0.06882812493925883,-7.702818506322395e-14,7.702817221801841e-14,3.7700102751528184e-22,3.2169560255336258e-15,3.2169567466676416e-15,-1.1012499990338915,-1.2267423293071886e-12,1.2267421308256627e-12,6.109055677176135e-21
0.15000000000000002,2.08512465640011e-16,2.085125166237734e-16,-0.09911249991274534,-1.1071008969204527e-13,1.1071007201081128e-13,5.4580975089773765e-22,5.5511396445110875e-15,5.5511407477362946e-15,-1.3214999988450302,-1.4678100409982878e-12,1.4678098525981904e-12,7.395384083210433e-21
0.17500000000000002,3.8586647783993785e-16,3.8586656245933375e-16,-0.13490312488152892,-1.504008581907258e-13,1.5040083504561691e-13,7.471136422455341e-22,8.802560306604855e-15,8.802561916997549e-15,-1.5417499986576548,-1.7074514388934463e-12,1.7074511901824924e-12,8.710109083695536e-21
0.2,6.575325714120766e-16,6.575327041387033e-16,-0.17619999984564685,-1.960648332946746e-13,1.9606480456067224e-13,9.816262379416903e-22,1.3120994638842895e-14,1.3120996900317077e-14,-1.7619999984717793,-1.9456665694253138e-12,1.9456663710246544e-12,1.0052531710004095e-20
0.225,1.052049011006755e-15,1.0520492097953233e-15,-0.22300312480513684,-2.4766636377716425e-13,2.4766632951784017e-13,1.2501006716645267e-21,1.8655327927462032e-14,1.865533097396207e-14,-1.9822499982874187,-2.1824558691734198e-12,2.1824556255448122e-12,1.1427157279294458e-20
